medidor,mes_dt,criterio,valor,kwh,kwh_prev
6.3296.5.12,2025-03-01,cambio_abrupto,-0.6304347826086957,34.0,92.0
60.10,2025-03-01,robust_z,6.937619240330694,307.0,331.0
60.2740.8,2025-03-01,cambio_abrupto,-1.0,0.0,1.0
60.6,2025-03-01,robust_z,4.140335585094792,335.0,338.0
60.6.1,2025-03-01,cambio_abrupto,4.428571428571429,38.0,7.0
60.9,2025-03-01,robust_z,4.208106065761059,713.0,842.0
604...4010,2025-03-01,cambio_abrupto,-0.5321543408360129,291.0,622.0
604...4034,2025-03-01,cambio_abrupto,-0.589041095890411,210.0,511.0
604...4036,2025-03-01,robust_z,4.546998050954288,330.0,384.0
605...4023,2025-03-01,cambio_abrupto,-0.5,147.0,294.0
605...4024,2025-03-01,cambio_abrupto,6.176470588235294,366.0,51.0
605...4024,2025-03-01,robust_z,24.169252214577995,366.0,51.0
605.4131.5,2025-03-01,robust_z,-5.2610279239174425,105.0,166.0
606...4053,2025-03-01,cambio_abrupto,-0.5142231947483589,222.0,457.0
606...4055,2025-03-01,cambio_abrupto,-0.746031746031746,112.0,441.0
607...4064,2025-03-01,robust_z,4.362290885965512,438.0,515.0
607...4071,2025-03-01,robust_z,5.518560759353961,213.0,322.0
607...4076,2025-03-01,robust_z,14.220513512298215,184.0,231.0
608...4093,2025-03-01,robust_z,4.384189936597869,326.0,535.0
609...4107,2025-03-01,cambio_abrupto,-0.5508849557522124,203.0,452.0
61.2739.6.29,2025-03-01,cambio_abrupto,-0.5625,91.0,208.0
61.2772.3,2025-03-01,cambio_abrupto,-1.0,0.0,13.0
61.3341.5,2025-03-01,robust_z,4.289761230271146,166.0,199.0
61.9,2025-03-01,robust_z,6.070416835289357,251.0,313.0
610...4158,2025-03-01,robust_z,4.18184270875489,184.0,279.0
62.1.2565,2025-03-01,robust_z,5.0280220251891645,400.0,556.0
62.4,2025-03-01,cambio_abrupto,24.555555555555557,230.0,9.0
62.8.1,2025-03-01,robust_z,4.316740860650209,86.0,163.0
63.2739.1.20,2025-03-01,cambio_abrupto,-1.0,0.0,3.0
63.3,2025-03-01,cambio_abrupto,-0.9285714285714286,1.0,14.0
63.3351.7,2025-03-01,robust_z,16.187778227438287,27.0,28.0
64.4.1,2025-03-01,cambio_abrupto,-0.5805097451274362,1399.0,3335.0
65.10.1,2025-03-01,robust_z,29.452763163811323,69.0,86.0
65.2782.8,2025-03-01,cambio_abrupto,-0.6666666666666666,9.0,27.0
65.5,2025-03-01,robust_z,6.009099493518757,165.0,160.0
66.2737.2,2025-03-01,robust_z,7.6574539164107565,105.0,129.0
66.6,2025-03-01,robust_z,5.2500902359259305,304.0,360.0
66.6.2,2025-03-01,robust_z,4.3255385662086,294.0,275.0
67.1..2794,2025-03-01,robust_z,6.3750255653755605,269.0,335.0
68.1.3,2025-03-01,robust_z,6.794869873245699,310.0,300.0
68.1.4,2025-03-01,robust_z,5.442983570659966,289.0,279.0
68.2733..10,2025-03-01,robust_z,4.07504833850443,164.0,233.0
68.2733.7.95,2025-03-01,robust_z,5.717112151753997,181.0,268.0
7.3296.5,2025-03-01,robust_z,5.254987708160936,405.0,351.0
70.1,2025-03-01,cambio_abrupto,-0.9859154929577465,1.0,71.0
70.1.1,2025-03-01,cambio_abrupto,-0.568,108.0,250.0
70.2635.5,2025-03-01,cambio_abrupto,-0.625,3.0,8.0
70.3205.4,2025-03-01,cambio_abrupto,-0.5384615384615384,72.0,156.0
70.9.3205.1,2025-03-01,cambio_abrupto,-1.0,0.0,9.0
700.1.1,2025-03-01,cambio_abrupto,-1.0,0.0,5.0
700.2746.2,2025-03-01,cambio_abrupto,-0.8958333333333334,5.0,48.0
700.3322.8,2025-03-01,cambio_abrupto,-0.5833333333333334,20.0,48.0
700.4344,2025-03-01,robust_z,4.2218125315386885,147.0,194.0
700.4345,2025-03-01,cambio_abrupto,-0.5111821086261981,153.0,313.0
71.2729.6.50,2025-03-01,robust_z,4.14932261856584,684.0,1025.0
71.3183,2025-03-01,robust_z,8.552542830163228,271.0,323.0
71.4.2,2025-03-01,robust_z,6.337402760915509,446.0,583.0
72.3204.10,2025-03-01,cambio_abrupto,4.9375,95.0,16.0
72.3204.10,2025-03-01,robust_z,4.271774810018436,95.0,16.0
72.3204.16,2025-03-01,robust_z,9.577768784567652,228.0,0.0
72.5.2,2025-03-01,robust_z,4.40024924039493,141.0,189.0
73.10.1,2025-03-01,cambio_abrupto,-0.975609756097561,4.0,164.0
73.3,2025-03-01,cambio_abrupto,-0.5338983050847458,220.0,472.0
73.6.1,2025-03-01,robust_z,13.746764050284893,898.0,1203.0
73.8.3157.4,2025-03-01,robust_z,4.289761230271146,279.0,332.0
74.3187,2025-03-01,robust_z,5.1148882593641805,137.0,148.0
74.9,2025-03-01,robust_z,174.01861594496157,259.0,176.0
75.1.1,2025-03-01,cambio_abrupto,2.2,336.0,105.0
75.3,2025-03-01,cambio_abrupto,-0.819047619047619,19.0,105.0
75.5..3164,2025-03-01,cambio_abrupto,-0.7551020408163265,72.0,294.0
76.2676.2,2025-03-01,robust_z,9.090962410336719,231.0,310.0
76.2676.3,2025-03-01,robust_z,5.431425589469424,188.0,196.0
76.2677,2025-03-01,cambio_abrupto,-0.5,1.0,2.0
76.4,2025-03-01,cambio_abrupto,-0.625,3.0,8.0
77.2.2,2025-03-01,robust_z,5.9237884093161846,185.0,269.0
77.2850.1,2025-03-01,cambio_abrupto,138.0,139.0,1.0
77.2850.1,2025-03-01,robust_z,93.07972480777013,139.0,1.0
78.10.2718,2025-03-01,robust_z,5.363807468218638,145.0,111.0
78.2849.2,2025-03-01,robust_z,8.157122622420074,275.0,356.0
78.2850.8,2025-03-01,robust_z,5.991064981233286,93.0,155.0
78.8,2025-03-01,cambio_abrupto,2.5384615384615383,92.0,26.0
79.2717.3,2025-03-01,cambio_abrupto,-0.7,3.0,10.0
79.2863.3,2025-03-01,robust_z,5.1148882593641805,165.0,171.0
79.7.3,2025-03-01,robust_z,4.3402014088059175,169.0,219.0
8.1,2025-03-01,robust_z,5.3306527765085745,418.0,436.0
8.2926.3,2025-03-01,robust_z,4.3392238859660965,341.0,476.0
8.3302.1,2025-03-01,robust_z,14.164305949008499,44.0,47.0
8.3302.3,2025-03-01,robust_z,5.20321443024802,149.0,132.0
8.3302.6,2025-03-01,robust_z,4.662139425393169,441.0,431.0
8.3302.9,2025-03-01,cambio_abrupto,3.513157894736842,686.0,152.0
8.3302.9,2025-03-01,robust_z,7.817591694174514,686.0,152.0
80...9030,2025-03-01,cambio_abrupto,-0.7827715355805244,58.0,267.0
80...9040,2025-03-01,robust_z,6.226068549014725,149.0,195.0
80...9164,2025-03-01,robust_z,5.6657223796034,214.0,415.0
80.1.15,2025-03-01,cambio_abrupto,-0.5393700787401575,117.0,254.0
80.1.15,2025-03-01,robust_z,4.121887974579193,117.0,254.0
80.2.67,2025-03-01,robust_z,5.705827235572278,255.0,444.0
80.2.70,2025-03-01,robust_z,4.2577229191960075,223.0,309.0
80.3.11,2025-03-01,robust_z,5.240274362087394,99.0,118.0
80.3080.15,2025-03-01,robust_z,-4.571548480896923,223.0,331.0
80.3081.1,2025-03-01,robust_z,5.373443050496875,175.0,171.0
80.3081.4,2025-03-01,robust_z,4.022520100388274,2430.0,2311.0
801.2464.7,2025-03-01,robust_z,45.75295651782905,1060.0,0.0
801.9,2025-03-01,robust_z,12.297691986736062,420.0,142.0
81.12.1,2025-03-01,cambio_abrupto,-0.796420581655481,91.0,447.0
81.2874.1,2025-03-01,cambio_abrupto,-0.5578358208955224,237.0,536.0
81.2881.3,2025-03-01,cambio_abrupto,-0.5311004784688995,196.0,418.0
81.3074.4,2025-03-01,robust_z,8.093889113719143,7.0,0.0
81.4,2025-03-01,robust_z,30.352084176446784,27.0,31.0
81.6,2025-03-01,cambio_abrupto,2.0,3.0,1.0
81.7.1.9600,2025-03-01,cambio_abrupto,-0.5148342059336823,278.0,573.0
813.2306.6.30,2025-03-01,cambio_abrupto,-0.5315904139433552,215.0,459.0
87.12.1,2025-03-01,robust_z,6.377003544142355,131.0,149.0
87.14,2025-03-01,robust_z,6.118594746680542,76.0,61.0
87.3314.2,2025-03-01,robust_z,5.465104615246259,333.0,351.0
88.3316.3.10,2025-03-01,robust_z,5.431425589469425,641.0,644.0
88.3332.8,2025-03-01,cambio_abrupto,-1.0,0.0,5.0
88.7,2025-03-01,robust_z,4.054787472667439,417.0,561.0
89.2579.8,2025-03-01,cambio_abrupto,4.771428571428571,1010.0,175.0
89.4..2574,2025-03-01,robust_z,6.070416835289357,42.0,35.0
89.5.3.2580,2025-03-01,robust_z,4.472938720739526,116.0,131.0
9.2928.5,2025-03-01,cambio_abrupto,-0.5416666666666666,22.0,48.0
9.3290.4,2025-03-01,cambio_abrupto,-0.7258064516129032,34.0,124.0
90.12,2025-03-01,cambio_abrupto,-1.0,0.0,449.0
90.12,2025-03-01,robust_z,-5.356635351959756,0.0,449.0
91.1,2025-03-01,cambio_abrupto,-0.6333333333333333,33.0,90.0
91.2591.7.1,2025-03-01,cambio_abrupto,-0.5111111111111111,22.0,45.0
91.3,2025-03-01,robust_z,4.236275296361773,372.0,546.0
91.6,2025-03-01,robust_z,7.916391545435828,440.0,445.0
92.2,2025-03-01,robust_z,-4.496605063177301,0.0,0.0
92.4,2025-03-01,robust_z,4.0844162657193825,177.0,193.0
92.5,2025-03-01,cambio_abrupto,-1.0,0.0,71.0
92.5,2025-03-01,robust_z,-11.382031566167544,0.0,71.0
92.9,2025-03-01,robust_z,7.221018719102371,151.0,230.0
93.1,2025-03-01,cambio_abrupto,3.3636363636363638,144.0,33.0
93.1,2025-03-01,robust_z,31.47623544224111,144.0,33.0
93.11.3249.5,2025-03-01,robust_z,4.478618642924592,307.0,336.0
93.16,2025-03-01,robust_z,4.430478518130576,340.0,410.0
94.11,2025-03-01,cambio_abrupto,54.5,111.0,2.0
94.3.2.1,2025-03-01,cambio_abrupto,-1.0,0.0,3.0
95.2623.5,2025-03-01,cambio_abrupto,2.0,15.0,5.0
96.3236..20,2025-03-01,robust_z,4.800787170392236,208.0,332.0
96.5,2025-03-01,cambio_abrupto,-0.5849056603773585,22.0,53.0
96.7.1,2025-03-01,robust_z,5.335971341637064,284.0,312.0
97.3234.4,2025-03-01,cambio_abrupto,-0.8064516129032258,6.0,31.0
97.8.1.1,2025-03-01,cambio_abrupto,-0.8688524590163934,8.0,61.0
10.13,2025-04-01,cambio_abrupto,-0.8980392156862745,26.0,255.0
100.15,2025-04-01,cambio_abrupto,-0.5930232558139535,70.0,172.0
100.15.2,2025-04-01,cambio_abrupto,-0.6655052264808362,96.0,287.0
100.2501,2025-04-01,cambio_abrupto,2.0,3.0,1.0
100.9,2025-04-01,cambio_abrupto,-0.5853658536585366,68.0,164.0
101.10,2025-04-01,cambio_abrupto,-0.5675675675675675,96.0,222.0
101.11,2025-04-01,cambio_abrupto,-0.6084905660377359,83.0,212.0
101.15,2025-04-01,cambio_abrupto,-0.815422477440525,450.0,2438.0
101.2662.7,2025-04-01,cambio_abrupto,-0.5646359583952452,293.0,673.0
101.5,2025-04-01,cambio_abrupto,-0.5204081632653061,141.0,294.0
102.10,2025-04-01,cambio_abrupto,9.0,10.0,1.0
102.5.3133,2025-04-01,cambio_abrupto,-0.6790697674418604,69.0,215.0
102.6,2025-04-01,cambio_abrupto,-1.0,0.0,1.0
103.3,2025-04-01,cambio_abrupto,-0.5179640718562875,161.0,334.0
103.3148.1,2025-04-01,cambio_abrupto,-0.6363636363636364,16.0,44.0
104.2..3123,2025-04-01,cambio_abrupto,-0.5523465703971119,124.0,277.0
104.2482.8,2025-04-01,cambio_abrupto,-0.5176470588235295,123.0,255.0
104.2484,2025-04-01,cambio_abrupto,-0.5910543130990416,128.0,313.0
104.8,2025-04-01,cambio_abrupto,-0.5106035889070146,300.0,613.0
104.9,2025-04-01,cambio_abrupto,2.0,6.0,2.0
105.2686.3,2025-04-01,cambio_abrupto,-0.5149700598802395,162.0,334.0
105.3080.2,2025-04-01,cambio_abrupto,-0.86,14.0,100.0
105.3080.2,2025-04-01,robust_z,-7.740584430183783,14.0,100.0
105.4,2025-04-01,cambio_abrupto,-0.5357142857142857,13.0,28.0
105.6.1,2025-04-01,cambio_abrupto,-0.5419354838709678,71.0,155.0
105.7.6,2025-04-01,cambio_abrupto,-0.5226480836236934,137.0,287.0
105.7.7,2025-04-01,robust_z,12.140833670578715,95.0,126.0
105.9,2025-04-01,cambio_abrupto,-0.5422535211267606,65.0,142.0
106.14.2478,2025-04-01,cambio_abrupto,-0.6560056858564322,484.0,1407.0
106.3055.1,2025-04-01,cambio_abrupto,-0.5588235294117647,90.0,204.0
106.3176.7.20,2025-04-01,cambio_abrupto,2.4,17.0,5.0
106.3176.8.10,2025-04-01,cambio_abrupto,11.0,12.0,1.0
107.12,2025-04-01,cambio_abrupto,-0.5321637426900585,160.0,342.0
107.13,2025-04-01,cambio_abrupto,-1.0,0.0,5.0
107.16,2025-04-01,cambio_abrupto,-0.543010752688172,85.0,186.0
107.17,2025-04-01,cambio_abrupto,-0.5593667546174143,167.0,379.0
107.2,2025-04-01,cambio_abrupto,-0.5016181229773463,154.0,309.0
107.20,2025-04-01,cambio_abrupto,-0.5010351966873706,241.0,483.0
107.4,2025-04-01,cambio_abrupto,-0.6493150684931507,128.0,365.0
107.9.9347,2025-04-01,cambio_abrupto,-0.5213270142180095,202.0,422.0
108.2.2,2025-04-01,cambio_abrupto,-0.5541795665634675,144.0,323.0
108.2706.6,2025-04-01,robust_z,9.482546559700367,192.0,162.0
11.1.1,2025-04-01,cambio_abrupto,-0.5603864734299517,91.0,207.0
11.1.2937.5,2025-04-01,cambio_abrupto,-0.5126760563380282,173.0,355.0
11.2,2025-04-01,cambio_abrupto,2.263157894736842,62.0,19.0
11.2937.8.10,2025-04-01,robust_z,5.6787770394642365,149.0,297.0
11.2937.8.11,2025-04-01,cambio_abrupto,-0.5059288537549407,125.0,253.0
11.2940.10,2025-04-01,cambio_abrupto,-0.7720588235294118,31.0,136.0
11.2940.15,2025-04-01,cambio_abrupto,-0.5903083700440529,93.0,227.0
11.2940.18,2025-04-01,cambio_abrupto,-0.6375,116.0,320.0
11.3290.99,2025-04-01,cambio_abrupto,-0.5296523517382413,230.0,489.0
11.3298.7.40,2025-04-01,cambio_abrupto,-0.6124031007751938,150.0,387.0
110.2529.5.28,2025-04-01,cambio_abrupto,2.0,3.0,1.0
110.2529.5.32,2025-04-01,robust_z,16.791269959601554,247.0,252.0
110.2529.5.35,2025-04-01,cambio_abrupto,-1.0,0.0,3.0
110.2529.5.40,2025-04-01,cambio_abrupto,-1.0,0.0,1.0
110.2529.5.41,2025-04-01,cambio_abrupto,-1.0,0.0,5.0
1100...4374,2025-04-01,cambio_abrupto,-0.6033333333333334,119.0,300.0
1100...4396,2025-04-01,cambio_abrupto,-0.5108225108225108,113.0,231.0
1100...7112,2025-04-01,robust_z,-4.046944556859572,4.0,7.0
1100..4339,2025-04-01,cambio_abrupto,-0.5098039215686274,250.0,510.0
1100.1.101,2025-04-01,cambio_abrupto,-0.882848810717215,2571.0,21946.0
1100.1.104,2025-04-01,robust_z,7.026784330069604,1131.0,780.0
1100.1.106,2025-04-01,cambio_abrupto,-1.0,0.0,900.0
1100.1.108,2025-04-01,cambio_abrupto,-0.6775,129.0,400.0
1100.1.131.5,2025-04-01,cambio_abrupto,-1.0,0.0,2.0
1100.1.133.1,2025-04-01,cambio_abrupto,-0.6858695652173913,578.0,1840.0
1100.1.134,2025-04-01,cambio_abrupto,-0.6977687626774848,447.0,1479.0
1100.1.136,2025-04-01,cambio_abrupto,-0.5679012345679012,70.0,162.0
1100.1.166,2025-04-01,cambio_abrupto,2.61,361.0,100.0
1100.1.17,2025-04-01,cambio_abrupto,-0.65625,187.0,544.0
1100.1.18.5,2025-04-01,cambio_abrupto,-0.9851714550509731,16.0,1079.0
1100.1.180,2025-04-01,cambio_abrupto,-1.0,0.0,50.0
1100.1.212,2025-04-01,cambio_abrupto,-0.5783132530120482,105.0,249.0
1100.1.217,2025-04-01,cambio_abrupto,-0.6289308176100629,59.0,159.0
1100.1.23,2025-04-01,cambio_abrupto,-0.5979381443298969,39.0,97.0
1100.1.235,2025-04-01,cambio_abrupto,13.0,98.0,7.0
1100.1.235,2025-04-01,robust_z,5.620756328971627,98.0,7.0
1100.1.255,2025-04-01,cambio_abrupto,-1.0,0.0,161.0
1100.1.263,2025-04-01,cambio_abrupto,-1.0,0.0,2.0
1100.1.28.6,2025-04-01,cambio_abrupto,-0.65125,279.0,800.0
1100.1.289,2025-04-01,cambio_abrupto,-1.0,0.0,118.0
1100.1.295,2025-04-01,robust_z,6.239039525158506,500.0,450.0
1100.1.319,2025-04-01,cambio_abrupto,-0.8082191780821918,70.0,365.0
1100.1.328,2025-04-01,cambio_abrupto,17.019607843137255,1838.0,102.0
1100.1.328,2025-04-01,robust_z,30.27221027071929,1838.0,102.0
1100.1.363,2025-04-01,cambio_abrupto,-0.9921671018276762,6.0,766.0
1100.1.377,2025-04-01,cambio_abrupto,-0.7,15.0,50.0
1100.1.396,2025-04-01,cambio_abrupto,-1.0,0.0,59.0
1100.1.403,2025-04-01,cambio_abrupto,-1.0,0.0,1079.0
1100.1.435.5,2025-04-01,robust_z,204.37070012140836,152.0,0.0
1100.1.442,2025-04-01,cambio_abrupto,-1.0,0.0,1000.0
1100.1.45,2025-04-01,cambio_abrupto,-0.6,194.0,485.0
1100.1.461,2025-04-01,cambio_abrupto,-1.0,0.0,100.0
1100.1.470,2025-04-01,cambio_abrupto,9.75,43.0,4.0
1100.1.472,2025-04-01,cambio_abrupto,-1.0,0.0,218.0
1100.1.479,2025-04-01,cambio_abrupto,-0.6666666666666666,20.0,60.0
1100.1.50,2025-04-01,cambio_abrupto,-0.5,10.0,20.0
1100.1.502,2025-04-01,cambio_abrupto,-0.5490196078431373,46.0,102.0
1100.1.508.5,2025-04-01,cambio_abrupto,-0.7809187279151943,62.0,283.0
1100.1.510,2025-04-01,cambio_abrupto,-1.0,0.0,4800.0
1100.1.6399,2025-04-01,cambio_abrupto,-1.0,0.0,501.0
1100.1.7,2025-04-01,robust_z,4.153876018727812,876.0,300.0
1100.1.76,2025-04-01,cambio_abrupto,-0.5384615384615384,900.0,1950.0
1100.1.78,2025-04-01,cambio_abrupto,3.8813559322033897,288.0,59.0
1100.1.95.9,2025-04-01,cambio_abrupto,-0.672566371681416,111.0,339.0
1100.1.95.9,2025-04-01,robust_z,4.330940666112874,111.0,339.0
1100.1009.2,2025-04-01,cambio_abrupto,-1.0,0.0,3.0
1100.1009.70,2025-04-01,cambio_abrupto,-1.0,0.0,17.0
1100.1188.9,2025-04-01,cambio_abrupto,-1.0,0.0,13.0
1100.138.2,2025-04-01,robust_z,8.093889113719143,500.0,0.0
1100.1417.9,2025-04-01,cambio_abrupto,6.0,7.0,1.0
1100.1418.2,2025-04-01,cambio_abrupto,-0.9751937984496124,16.0,645.0
1100.2746.1.90,2025-04-01,cambio_abrupto,-0.6007751937984496,103.0,258.0
1100.2746.2.50,2025-04-01,cambio_abrupto,-1.0,0.0,9.0
1100.3289.1.10,2025-04-01,cambio_abrupto,-0.75,1.0,4.0
1100.3289.1.12,2025-04-01,robust_z,32.8252169611943,154.0,144.0
1100.3289.1.20,2025-04-01,cambio_abrupto,3.5,9.0,2.0
1100.3289.1.30,2025-04-01,cambio_abrupto,-0.6363636363636364,60.0,165.0
1100.3290.2.12,2025-04-01,robust_z,4.029868841429784,483.0,449.0
1100.3290.3.15,2025-04-01,cambio_abrupto,-0.6326530612244898,18.0,49.0
1100.3290.3.15,2025-04-01,robust_z,23.607176581680832,18.0,49.0
1100.3290.3.19,2025-04-01,cambio_abrupto,-0.8636363636363636,3.0,22.0
1100.3290.5.15,2025-04-01,cambio_abrupto,-1.0,0.0,2.0
1100.358,2025-04-01,cambio_abrupto,19.0,400.0,20.0
1100.4055.2,2025-04-01,cambio_abrupto,-0.5952380952380952,136.0,336.0
1100.4317,2025-04-01,cambio_abrupto,-0.8,1.0,5.0
1100.4325,2025-04-01,cambio_abrupto,-0.5469973890339426,347.0,766.0
1100.4327,2025-04-01,cambio_abrupto,-0.5337837837837838,69.0,148.0
1100.4333,2025-04-01,cambio_abrupto,-0.5295315682281059,231.0,491.0
1100.4356.2,2025-04-01,cambio_abrupto,-1.0,0.0,6.0
1100.4356.40,2025-04-01,cambio_abrupto,-0.620253164556962,30.0,79.0
1100.4379.90,2025-04-01,cambio_abrupto,-0.6730769230769231,51.0,156.0
1100.4382,2025-04-01,robust_z,18.885741265344667,174.0,176.0
1100.4394,2025-04-01,cambio_abrupto,-0.5271565495207667,148.0,313.0
1100.4395,2025-04-01,cambio_abrupto,11.4,62.0,5.0
1100.515.5,2025-04-01,cambio_abrupto,-0.5221027479091995,400.0,837.0
1100.594.1,2025-04-01,robust_z,5.395926075812762,9.0,5.0
1100.6094.7,2025-04-01,cambio_abrupto,-1.0,0.0,36.0
1100.6094.7,2025-04-01,robust_z,-4.946265569495031,0.0,36.0
1100.6269,2025-04-01,cambio_abrupto,-1.0,0.0,700.0
1100.6281,2025-04-01,cambio_abrupto,-0.5462794918330308,250.0,551.0
1100.6687.8.15,2025-04-01,robust_z,6.403956221843718,2660.0,1639.0
1100.6689.8,2025-04-01,robust_z,7.828264917719082,9864.0,9031.0
1100.6713,2025-04-01,cambio_abrupto,-0.5740740740740741,23.0,54.0
1100.6726.5,2025-04-01,cambio_abrupto,-0.760130414531905,515.0,2147.0
1100.6958.3.5,2025-04-01,cambio_abrupto,-0.9090909090909091,2.0,22.0
1100.7003,2025-04-01,cambio_abrupto,-1.0,0.0,1.0
1100.7040.1,2025-04-01,cambio_abrupto,-0.9,2.0,20.0
1100.7040.1,2025-04-01,robust_z,-4.046944556859572,2.0,20.0
1100.7055,2025-04-01,cambio_abrupto,-1.0,0.0,3690.0
1100.7055,2025-04-01,robust_z,-6.2203036707286,0.0,3690.0
1100.7098.14,2025-04-01,cambio_abrupto,-1.0,0.0,262.0
1100.7098.15,2025-04-01,cambio_abrupto,-1.0,0.0,212.0
1100.7098.16,2025-04-01,cambio_abrupto,-1.0,0.0,164.0
1100.7098.6,2025-04-01,cambio_abrupto,-1.0,0.0,4252.0
1100.7098.7,2025-04-01,cambio_abrupto,-1.0,0.0,8460.0
1100.7101,2025-04-01,cambio_abrupto,-0.7703703703703704,31.0,135.0
111.2529.5.16,2025-04-01,cambio_abrupto,29.666666666666668,184.0,6.0
111.2529.5.16,2025-04-01,robust_z,33.53182632826502,184.0,6.0
111.2529.5.3,2025-04-01,cambio_abrupto,3.740740740740741,256.0,54.0
112.2516.2,2025-04-01,cambio_abrupto,-0.5828571428571429,73.0,175.0
112.2516.3.53,2025-04-01,cambio_abrupto,-0.5081967213114754,240.0,488.0
112.2516.3.70,2025-04-01,cambio_abrupto,-0.5882352941176471,7.0,17.0
113.6957.5,2025-04-01,cambio_abrupto,-0.674347158218126,212.0,651.0
113.6958.2,2025-04-01,cambio_abrupto,-1.0,0.0,100.0
114.3.1,2025-04-01,cambio_abrupto,7.774193548387097,272.0,31.0
114.3123.1,2025-04-01,cambio_abrupto,-0.7010309278350515,29.0,97.0
115.8,2025-04-01,cambio_abrupto,-0.5223880597014925,96.0,201.0
117.1.4,2025-04-01,cambio_abrupto,-0.6666666666666666,1.0,3.0
117.1224.5.10,2025-04-01,cambio_abrupto,-0.628,186.0,500.0
12.2.1,2025-04-01,cambio_abrupto,-0.5203619909502263,318.0,663.0
12.3287.5.50,2025-04-01,cambio_abrupto,-0.5320197044334976,95.0,203.0
12.3287.7,2025-04-01,cambio_abrupto,-0.5314685314685315,268.0,572.0
121.11.1303.5,2025-04-01,cambio_abrupto,-0.9736842105263158,3.0,114.0
121.1871,2025-04-01,cambio_abrupto,-0.5347222222222222,67.0,144.0
121.1872.5,2025-04-01,cambio_abrupto,-0.5705329153605015,137.0,319.0
121.4,2025-04-01,cambio_abrupto,-0.63646408839779,329.0,905.0
123.7025,2025-04-01,cambio_abrupto,2.704437742352434,8598.0,2321.0
127.10,2025-04-01,cambio_abrupto,-0.5375722543352601,80.0,173.0
128.1,2025-04-01,cambio_abrupto,-0.6065573770491803,24.0,61.0
128.2446.7.60,2025-04-01,cambio_abrupto,-0.5842880523731587,254.0,611.0
128.5.1.2450,2025-04-01,cambio_abrupto,-0.5068493150684932,72.0,146.0
128.6,2025-04-01,cambio_abrupto,-0.75,1.0,4.0
129.4,2025-04-01,cambio_abrupto,-0.6060606060606061,13.0,33.0
129.7.5,2025-04-01,cambio_abrupto,-0.8333333333333334,3.0,18.0
13.1,2025-04-01,cambio_abrupto,-0.6124031007751938,150.0,387.0
13.1.3,2025-04-01,cambio_abrupto,-0.5234741784037559,203.0,426.0
13.14,2025-04-01,cambio_abrupto,-0.5517241379310345,182.0,406.0
13.22,2025-04-01,cambio_abrupto,-0.5684210526315789,82.0,190.0
13.4,2025-04-01,cambio_abrupto,-0.639344262295082,22.0,61.0
13.4.3,2025-04-01,cambio_abrupto,-0.5398406374501992,231.0,502.0
130.1200..25,2025-04-01,cambio_abrupto,-0.6129032258064516,12.0,31.0
130.1200..30,2025-04-01,cambio_abrupto,-0.6396396396396397,40.0,111.0
130.7..2396,2025-04-01,cambio_abrupto,-0.5145985401459854,266.0,548.0
131.12.1242.5,2025-04-01,cambio_abrupto,-0.5222222222222223,129.0,270.0
131.6,2025-04-01,cambio_abrupto,-0.5738636363636364,75.0,176.0
132.11.1,2025-04-01,cambio_abrupto,11.0,60.0,5.0
133..2384,2025-04-01,cambio_abrupto,-0.6683937823834197,64.0,193.0
133.1,2025-04-01,cambio_abrupto,-0.5535714285714286,50.0,112.0
133.1.2375,2025-04-01,cambio_abrupto,-0.5420560747663551,49.0,107.0
133.2375.5.50,2025-04-01,cambio_abrupto,-0.5933014354066986,170.0,418.0
133.2383.2,2025-04-01,cambio_abrupto,-0.6077348066298343,71.0,181.0
134.7.1,2025-04-01,cambio_abrupto,-0.5376106194690266,209.0,452.0
135.4,2025-04-01,cambio_abrupto,-0.5149863760217984,178.0,367.0
135.5,2025-04-01,cambio_abrupto,-0.5431235431235432,196.0,429.0
138.11,2025-04-01,cambio_abrupto,-0.5219512195121951,98.0,205.0
138.12,2025-04-01,cambio_abrupto,-0.5610687022900763,115.0,262.0
138.13,2025-04-01,cambio_abrupto,-0.5362694300518135,179.0,386.0
138.14,2025-04-01,cambio_abrupto,-0.5117493472584856,187.0,383.0
138.15,2025-04-01,cambio_abrupto,-0.5178571428571429,54.0,112.0
138.4..1270,2025-04-01,cambio_abrupto,-0.5320945945945946,277.0,592.0
139.2.1,2025-04-01,cambio_abrupto,2.36,84.0,25.0
139.8..9663,2025-04-01,cambio_abrupto,-0.5555555555555556,36.0,81.0
14.3225.4.10,2025-04-01,cambio_abrupto,-0.520618556701031,93.0,194.0
14.5.3,2025-04-01,cambio_abrupto,-0.5495495495495496,150.0,333.0
140.1.1,2025-04-01,cambio_abrupto,-0.7388646288209607,299.0,1145.0
140.10.9.1857,2025-04-01,cambio_abrupto,-0.7356521739130435,304.0,1150.0
140.1088.1,2025-04-01,cambio_abrupto,-0.6038461538461538,103.0,260.0
140.1088.2,2025-04-01,robust_z,8.498583569405099,34.0,15.0
140.1088.3,2025-04-01,robust_z,11.016682404784389,26.0,20.0
140.12,2025-04-01,cambio_abrupto,-1.0,0.0,1.0
140.9,2025-04-01,cambio_abrupto,30.0,31.0,1.0
141.1870.5,2025-04-01,cambio_abrupto,-0.6493506493506493,27.0,77.0
142.7,2025-04-01,cambio_abrupto,-0.6731391585760518,101.0,309.0
142.7.2,2025-04-01,cambio_abrupto,-0.7142857142857143,14.0,49.0
